Jurisdiction ,Bill Number ,Bill Title ,Bill Status ,Bill Summary ,Category ,Year
Connecticut ,H 6187,Artificial Intelligence,Failed,"Requires a study of the commercial and practical applications of artificial intelligence, prepares for the modernization of state's economy through artificial intelligence.",Studies,2019
Connecticut ,H 6889,Emerging Technology Educational Subsidies,Failed,"Provides educational subsidies for students studying artificial intelligence, virtual reality, autonomous vehicles or quantum computing, provides subsidies to students studying in fields related to emerging technologies if such students work in the state upon graduation.",Education/Training,2019
Connecticut ,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2020
Connecticut ,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2021
Connecticut ,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2022
Connecticut ,S 1103 ,Artificial Intelligence Automated Decision ,Enacted,"Relates to artificial intelligence, automated decision–making and personal data privacy, provides that the Office of Policy and Management shall develop and establish policies and procedures concerning the development, procurement, implementation, utilization and ongoing assessment of systems that employ artificial intelligence and are in use by State agencies. ",Government Use; Oversight/Governance; Responsible Use ,2023
Connecticut ,H 5421 ,Unlawful Dissemination of Intimate Images ,Failed,Concerns unlawful dissemination of intimate images that are digitally altered or created using AI; criminalizes unauthorized dissemination of intimate images that are digitally altered or created using AI. ,Criminal Use ,2024
Connecticut ,H 5450 ,Artificial Intelligence Deceptive Synthetic Media ,Failed,"Concerns AI, deceptive synthetic media and elections; prohibits distribution of certain deceptive synthetic media within the 90–day period preceding an election or primary. ",Elections ,2024
Connecticut ,S 2 ,Artificial Intelligence ,Failed,Protects the public from harmful unintended consequences of AI; trains Connecticut's workforce to use AI. ,Education Use; Education/Training; Effect on Labor/Employment; Elections; Government Use; Health Use; Provenance; Responsible Use ,2024
Connecticut ,H 5524 ,Adjusting Bonds of the State and Concerning Provisions ,Enacted,"Provides funding to the Department of Education for grants to administer an AI education tool pilot program, including professional development for educators.  ",Appropriations; Education Use ,2024
Delaware,HCR 7,Artificial Intelligence Resolution,Enacted,"Recognizes the possible life–changing impact the rise of robotics, automation and artificial intelligence will have on Delawareans and encourages all branches of state government to implement plans to minimize the adverse effects of the rise of such technology.",Government Use; Private Sector Use,2019
Delaware,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2020
Delaware,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2021
Delaware,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2022
Delaware,None ,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2023
Delaware,H 333 ,Artificial Intelligence Commission ,Enacted,"Creates the Delaware Artificial Intelligence Commission; provides that this commission shall be tasked with making recommendations to the General Assembly and Department of Technology and Information on AI utilization and safety within the state; provides that the commission shall additionally conduct an inventory of all generative AI usage within state executive, legislative and judicial agencies and identify high risk areas for the implementation of generative AI. ",Government Use; Studies ,2024
District of Columbia,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2019
District of Columbia,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2020
District of Columbia,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2021
District of Columbia,B24–558,Stop Discrimination by Algorithms Act of 2021,Failed,Prohibits users of algorithmic decision making from utilizing algorithmic eligibility determinations in a discriminatory manner; requires corresponding notices to individuals whose personal information is used; provides for appropriate means of civil enforcement.,Responsible Use,2022
District of Columbia,B 114 ,Stop Discrimination by Algorithms Act of 2023 ,Pending ,"Prohibits users of algorithmic decision–making from utilizing algorithmic eligibility determinations in a discriminatory manner, requires corresponding notices to individuals whose personal information is used, provides for appropriate means of civil enforcement. ",Audit; Notification; Responsible Use ,2023
District of Columbia,B 114 ,Stop Discrimination by Algorithms Act of 2023 ,Pending ,Prohibits users of algorithmic decision–making from utilizing algorithmic eligibility determinations in a discriminatory manner; requires corresponding notices to individuals whose personal information is used; provides for appropriate means of civil enforcement. ,Audit; Notification; Responsible Use ,2024
Florida ,H 9047,Appropriations Project,Failed,"Relates to the appropriations project titled University of Florida Center for Artificial Intelligence, provides an appropriation.",Appropriations,2019
Florida ,S 1544,Data Innovation,Failed,Relates to data innovation; provides a short title; provides legislative intent; establishes the Office of Data Innovation and Governance for specified purposes; provides duties of the office; requires the office to develop an interagency governance committee; provides committee membership; requires the committee to develop operating guidelines.,Government Use,2019
Florida ,H 4145,Appropriations Project,Failed,Provides an appropriation for the University of Florida Center for Application of Artificial Intelligence.,Appropriations,2020
Florida ,S 2500,Appropriations,Enacted,"Relates to appropriations, includes funding for the Department of Health for the development of an artificial intelligence customer service solution.",Appropriations; Government Use ,2021
Florida ,H 1383,Maternal Health Care Services,Failed,"Relates to maternal health care services, requires Department of Health to establish certain grant programs and provide certain assistance to eligible entities and grant recipients, provides reporting requirements for grant recipients and the department, requires the department, in consultation with the Office of Program Policy Analysis and Government Accountability to conduct a study on the use of technology to reduce preventable maternal mortality and severe maternal morbidity and eliminate racial and ethnic disparities in maternal health outcomes in this state. The study must assess current and future uses of artificial intelligence technologies in maternal health care.",Health Use; Studies,2021
Florida ,S 1556,Maternal Health Care Services,Failed,"Relates to maternal health care services, requires Department of Health to establish certain grant programs and provide certain assistance to eligible entities and grant recipients, provides reporting requirements for grant recipients and the department, requires the department, in consultation with the Office of Program Policy Analysis and Government Accountability to conduct a study on the use of technology to reduce preventable maternal mortality and severe maternal morbidity and eliminate racial and ethnic disparities in maternal health outcomes in this state. The study must assess current and future uses of artificial intelligence technologies in maternal health care.",Health Use; Studies,2021
Florida ,H 5001,General Appropriations Act,Enacted,Provides an appropriation for the UF/IFAS Quantifying Ecosystems Services with Artificial Intelligence.,Appropriations; Government Use,2022
Florida ,H 2205,Appropriations Project,Failed,Provides an appropriation for the UF/IFAS Quantifying Ecosystems Services with Artificial Intelligence.,Appropriations; Government Use,2022
Florida ,S 2500,General Appropriations Act,Failed,Provides an appropriation for the UF/IFAS Quantifying Ecosystems Services with Artificial Intelligence.,Appropriations; Government Use,2022
Florida ,None ,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2023
Florida ,H 483 ,Education ,Failed,Revises provisions and provides requirements for computer science in K–12 schools; revises provisions relating to weighted GPA calculations for certain courses; revises provisions relating to Bright Futures Scholarship Program; establishes Artificial Intelligence in Education Task Force. ,Education Use; Government Use; Studies ,2024
Florida ,H 1289 ,Verification of Reemployment Assistance ,Failed,Provides requirements for reemployment assistance benefit conditions for non–Florida residents; removes requirements that certain skills assessments of claimants be voluntary; revises circumstances under which Department of Commerce disqualifies claimants from benefits; requires department to verify claimants identities before paying benefits and to weekly cross–check certain information; prohibits benefits from being paid for claims that have not been cross–checked; prohibits benefits from being paid for claims that have not been cross–checked. ,Government Use ,2024
Florida ,H 1459 ,Artificial Intelligence Transparency ,Failed,"Creates Government Technology Modernization Council within Department of Management Services; requires entities and persons to create safety and transparency standards for content, images, and videos generated by ai; requires disclosures for certain communications, interactions, images, likenesses, and content; prohibits use of natural persons image or likeness without consent; provides certain political ads are subject to specified requirements. ",Child Pornography; Criminal Use; Elections; Government Use; Notification; Oversight/Governance; Private Sector Use; Provenance; Responsible Use ,2024
Florida ,H 1461 ,Public Records and Investigations ,Failed,Provides exemption from public records requirements for information relating to investigations by Department of Legal Affairs and law enforcement agencies of certain AI transparency violations; provides for future legislative review and repeal of exemption; provides statement of public necessity. ,Oversight/Governance ,2024
Florida ,H 1501 ,Health Care Innovation ,Failed,"Creates Health Care Innovation Council within the state Department for specified purpose; requires council to submit annual reports to governor and Legislature; requires department to administer revolving loan program for applicants seeking to implement certain health care innovations in this state; authorizes department to contract with third party to administer program, including loan servicing, and manage revolving loan fund. ",Health Use; Studies ,2024
Florida ,S 850 ,Use of Artificial Intelligence in Political Advertising ,Failed,"Defines the term generative AI; requires that certain political advertisements, electioneering communications, or other miscellaneous advertisements include a specified disclaimer; provides for civil penalties; authorizes the filing of complaints regarding violations with the Florida Elections Commission. ",Elections ,2024
Florida ,S 972 ,Artificial Intelligence ,Failed,"Creates the Artificial Intelligence Advisory Council within the Department of Management Services; requires the department to provide administrative support to the council; requires members to be appointed to the council by a specified date; requires each state agency to prepare and submit, by a specified date and using money appropriated by the Legislature, an inventory report for all automated decision systems that are being developed, used, or procured by the agency; provides legislative intent. ",Government Use; Responsible Use; Studies ,2024
Florida ,S 1260 ,Verification of Reemployment Assistance ,Failed,"Cites this act as the Promoting Work, Deterring Fraud Act of 2024; provides requirements for reemployment assistance benefit conditions for non–Florida residents; removes requirements that certain skills assessments of claimants be voluntary; revises circumstances under which the department disqualifies claimants from benefits; requires the department to verify claimants identities before paying benefits; requires the department to procure an online workforce search and match tool for a specified purpose. ",Government Use ,2024
Florida ,S 1344 ,Computer Science Education ,Failed,Provides that state academic standards include computer science skills; requires K–12 public schools to provide computer science instruction; requires the department to publish specified information on its website relating to computer science education and certain industry certifications; requires the department to adopt and publish by a specified date a strategic plan for computer science education; creates the AI in Education Task Force within the department. ,Education/Training ,2024
Florida ,S 1682 ,Public Records and Artificial Intelligence Transparency ,Failed,Provides an exemption from public records requirements for information relating to investigations by the Department of Legal Affairs and law enforcement agencies of certain AI transparency violations; provides that certain information received by the department remains confidential and exempt upon completion or inactive status of an investigation; provides for future legislative review and repeal of the exemption; provides a statement of public necessity. ,Government Use ,2024
Florida ,S 7038 ,Education ,Failed,Provides for the award of grants to school districts to implement AI in support of students and teachers; provides requirements for the use of such AI; revises eligibility requirements for a New Worlds Scholarship Account; requires each school district and prekindergarten provider to notify the parent of each eligible student of the process to request and receive a scholarship when providing certain screening and progress monitoring results; renames the New Worlds Reading Initiative as the New Worlds Learning Initiative; expands the initiative to include improvement in mathematics skills. ,Education Use; Government Use ,2024
Florida ,H 919 ,Artificial Intelligence Use in Political Advertising ,Enacted,"Requires certain political advertisements, electioneering communications, or other miscellaneous advertisements to include a specified disclaimer; specifies requirements for the disclaimer; provides for criminal and civil penalties; authorizes any person to file certain complaints; provides for expedited hearings. ",Elections ,2024
Florida ,H 1361 ,Education ,Enacted,"Provides for the award of grants to school districts to implement AI in support of students and teachers; provides requirements for the use of such AI; revises provisions relating to New Worlds Scholarship Accounts, New Worlds Reading Initiative, and coordinated screening and progress monitoring systems. ",Education Use ,2024
Florida ,S 1680 ,Artificial Intelligence Transparency ,Enacted,"Creates the Government Technology Modernization Council; requires the council to submit specified recommendations to the Legislature and specified reports to the governor and the Legislature by specified dates; prohibits a person from knowingly possessing or controlling or intentionally viewing photographs, motion pictures, representations, images, data files, computer depictions, or other presentations which the person knows to include generated child pornography; provides for criminal penalties. ",Elections; Government Use; Notification; Oversight/Governance; Private Sector Use; Provenance; Responsible Use ,2024
Florida ,S 7018 ,Health Care Innovation Council ,Enacted,"Creates the Health Care Innovation Council to tap into the best knowledge and experience available by regularly bringing together subject matter experts to explore and discuss innovations in technology, workforce, and service delivery models that can be exhibited as best practices, implemented, or scaled in order to improve the quality and delivery of health care; provides for a revolving loan program for applicants seeking to implement innovative solutions; appropriates funds to the Department of Health. ",Health Use; Studies ,2024
Georgia ,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2019
Georgia ,H 1004,Higher Education Income Tax Credits,Failed,"Relates to imposition, rate, and computation and exemptions regarding income taxes; provides for income tax credits for higher education for the Fort Gordon Cyber Security and Information Technology Innovation Corridor and the Savannah Logistics Technology Innovation Corridor; provides for definitions; provides for applicability and eligibility; provides for limitations; provides for related matters; repeals conflicting laws.",Education/Training,2020
Georgia ,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2021
Georgia ,H 1651,Transparency and Fairness in Automated Decision Making,Failed,"Relates to general provisions regarding state government, so as to create the Transparency and Fairness in Automated Decision–Making Commission; provides for the composition and operation of same; provides for a survey and recommendations; provides for public notice and input; provides for reporting; provides for definitions; provides for related matters; repeals conflicting laws.",Government Use; Oversight/Governance; Studies,2022
Georgia ,H 18 ,Supplemental Appropriations ,Enacted,"Makes, provides, and changes certain appropriations for the operation of the state government and its departments, boards, bureaus, commissions, institutions, and other agencies, for the university system, common schools, counties, municipalities, and political subdivisions, for all other governmental activities, projects, and undertakings authorized by law, and for all leases, contracts, agreements, and grants authorized by law, provides for the control and administration of funds, including funds for the Georgia Artificial Intelligence Manufacturing Project. ",Appropriations ,2023
Georgia ,H 203 ,Control of Hazardous Conditions ,Enacted,"Relates to the control of hazardous conditions, preventable diseases, and metabolic disorders, revises provisions relating to restrictions on the sale and dispensing of contact lenses with respect to physicians, revises definitions, provides requirements for assessment mechanisms. ",Health Use ,2023
Georgia ,HR 381 ,Honorary Resolution ,Enacted,Honors the inaugural year of Seckinger High School and its innovative artificial intelligence education. ,Education/Training ,2023
Georgia ,H 887 ,General Provisions Regarding Insurance ,Failed,"Relates to general provisions regarding insurance, so as to prohibit the use of AI in making certain decisions regarding insurance coverage; amends Article 1 of Chapter 34 of Title 43 of the Official Code of Georgia Annotated, relating to the Georgia Composite Medical Board, so as to prohibit the use of AI in making certain decisions regarding healthcare; provides for the Georgia Composite Medical Board to promulgate related rules; amends Article 1 of Chapter 4 of Title 49 of the Official Code of Georgia Annotated, relating to general provisions regarding public assistance, so as to prohibit the use of AI in making certain decisions regarding public assistance; provides for related matters; repeals conflicting laws; and for other purposes. ",Health Use ,2024
Georgia ,H 890 ,Laws and Statutes ,Failed,"Relates to laws and statutes, provides for protections against discrimination by AI and automated decision tools; prohibits certain defenses; provides for definitions; provides for related matters; repeals conflicting laws. ",Responsible Use ,2024
Georgia ,H 988 ,State Technology Authority and Unmanned Aircraft ,Failed,Provides for the development of a list of approved unmanned aircraft systems by the Board of Homeland Security; prohibits the operation of unmanned aircraft systems other than those on the list; prohibits the purchase or expenditure of public funds for the contractual use of unlisted unmanned aircraft systems; exempts records relating to the development of an approved unmanned aircraft system list from the Open Records Act; provides for an annual inventory of AI usage by state agencies. ,Government Use; Impact Assessment; Responsible Use ,2024
Georgia ,H 1361 ,Obscene Material ,Failed,Prohibits the distribution of computer–generated obscene material depicting a child; provides for the offenses of doxing and aggravated doxing; provides for penalties; provides for construction; provides for definitions; provides for related matters; provides for an effective date and applicability; repeal conflicting laws. ,Child Pornography; Criminal Use ,2024
Georgia ,SR 476 ,Senate Study Committee on Artificial Intelligence ,Failed,Creates the Senate Study Committee on Artificial Intelligence. ,Government Use; Private Sector Use; Responsible Use; Studies ,2024
Hawaii ,SR 142,Artificial Intelligence,Enacted,"Requests the state to convene an Artificial Intelligence Advisory Committee to investigate how to implement, develop, and regulate artificial intelligence in the state.",Studies,2019
Hawaii ,H 1080,Artificial Intelligence,Failed,"Requires the Hawaii Tourism Authority to host a global summit on artificial intelligence in 2020, authorizes the Hawaii Tourism Authority to contract the services of another entity to assist the Hawaii Tourism Authority in hosting the summit, makes an appropriation.",Appropriations; Audit,2019
Hawaii ,H 1185,Artificial Intelligence Task Force,Failed,Creates a legislative task force to investigate the application and the accompanying advantages and disadvantages of applying artificial intelligence to Hawaii's economy and government operations.,Studies,2019
Hawaii ,H 1389,Artificial Intelligence Task Force,Failed,Creates a legislative task force to investigate the application and the accompanying advantages and disadvantages of applying artificial intelligence to Hawaii's economy and government operations.,Studies,2019
Hawaii ,HCR 129,Artificial Intelligence Advisory Committee,Failed,"Requests the state to convene an Artificial Intelligence Advisory Committee to investigate how to implement, develop, and regulate artificial intelligence in the state.",Studies,2019
Hawaii ,HCR 156,Lethal Autonomous Robotics,Failed,"Urges the U.S. government to place a moratorium on the development, production, deployment, and use of lethal autonomous robotics and to encourage other nations to do the same.",Government Use,2019
Hawaii ,HCR 171,Hawaii Tourism Authority,Failed,Requests the Hawaii Tourism Authority to convene a Global Artificial Intelligence Summit in 2020.,Audit,2019
Hawaii ,HCR 227,Artificial Intelligence Working Group,Failed,"Requests the Department of Business, Economic Development and Tourism to convene a working group on artificial intelligence.",Studies,2019
Hawaii ,HR 119,Artificial Intelligence,Failed,"Requests the state to convene an artificial intelligence advisory committee to investigate how to implement, develop, and regulate artificial intelligence in the state.",Studies,2019
Hawaii ,HR 143,Lethal Autonomous Robotics,Failed,"Urges the U.S. government to place a moratorium on the development, production, deployment and use of lethal autonomous robotics and to encourage other nations to do the same.",Government Use,2019
Hawaii ,HR 153,Hawaii Tourism Authority,Failed,Requests the Hawaii Tourism Authority to convene a Global Artificial Intelligence Summit in 2020.,Audit,2019
Hawaii ,HR 202,Artificial Intelligence Working Group,Failed,"Requests the Department of Business, Economic Development and Tourism to convene a working group on artificial intelligence.",Studies,2019
Hawaii ,SCR 66,Global Artificial Intelligence Summit 2020,Failed,Requests the Hawaii tourism authority to convene a global artificial intelligence summit in 2020.,Audit,2019
Hawaii ,SCR 175,Artificial Intelligence Advisory Committee,Failed,"Requests the state to convene an Artificial Intelligence Advisory Committee to investigate how to implement, develop, and regulate artificial intelligence in the state.",Studies,2019
Hawaii ,SR 44,Global Artificial Intelligence Summit 2020,Failed,Requests the Hawaii tourism authority to convene a global artificial intelligence summit in 2020.,Audit,2019
Hawaii ,H 1685,Cybersecurity Tax Credits,Failed,Establishes an income tax credit for investment in qualified businesses that develop cybersecurity and artificial intelligence.,Private Sector Use,2020
Hawaii ,S 2239,Office of the Prosecuting Attorney,Failed,Requires the offices of the prosecuting attorney of the respective counties to collect and publish certain data relating to criminal defendants and prosecutorial decision–making; requires governor to establish a prosecutorial transparency advisory board.,Government Use,2020
Hawaii ,H 454,Taxation,Failed,Establishes an income tax credit for investment in qualified businesses that develop cybersecurity and artificial intelligence.,Private Sector,2021
Hawaii ,SCR 84,Hawaii Technology Development Corporation,Failed,Requests the Hawaii Technology Development Corporation and Leeward Community College to study the feasibility of establishing technology academy programs at Aiea High School and Pearl City High School.,Education/Training,2021
Hawaii ,SR 64,Hawaii Technology Development Corporation,Failed,Requests the Hawaii Technology Development Corporation and Leeward Community College to study the feasibility of establishing technology academy programs at Aiea High School and Pearl City High School.,Education/Training,2021
Hawaii ,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2022
Hawaii ,SCR 179 ,Artificial Intelligence Benefits and Risks ,Enacted,Urges Congress to begin a discussion considering the benefits and risks of artificial intelligence technologies. ,Responsible Use ,2023
Hawaii ,SR 123 ,Artificial Intelligence ,Enacted,Urges Congress to begin a discussion considering the benefits and risks of artificial intelligence technologies. ,Responsible Use ,2023
Hawaii ,H 1607 ,Algorithmic Decision Making ,Failed,Prohibits users of algorithmic decision making from utilizing algorithmic eligibility determinations in a discriminatory manner; requires users of algorithmic decision making to send corresponding notices to individual's whose personal information is used; requires users of algorithmic decision making to submit annual reports to the Department of the Attorney General; provides for appropriate means of civil enforcement. ,Audit; Notification; Private Sector Use; Responsible Use ,2024
Hawaii ,H 1734 ,Campaign Advertisements ,Failed,"Requires any campaign advertisement that contains any image, video footage, or audio recording that is created with the use of generative AI to include a disclosure statement regarding the use of that technology; subjects violators to administrative fines. ",Elections ,2024
Hawaii ,H 1924 ,Wildfire Forecast System ,Failed,Provides that the Legislature finds that an early detection system for wildfire will improve public safety by allowing government agencies and emergency management personnel to issue timely warnings and enhance the preparedness of first responders; requires the University of Hawaii to develop a wildfire forecast system for the state; appropriates funds. ,Government Use ,2024
Hawaii ,H 2152 ,Generative Artificial Intelligence ,Failed,"Establishes a plan for the use of generative AI in state agencies, departments and government branches; requires the Office of Enterprise Technology Services to carry out risk assessments and to prepare guidelines for state uses; requires reports to the Legislature. ",Government Use; Health Use; Impact Assessment; Notification; Responsible Use ,2024
Hawaii ,H 2176 ,Office of Artificial Intelligence Safety and Regulation ,Failed,"Establishes an AI working group in the Office of Enterprise Technology Services to develop acceptable use policies and guidelines for the regulation, development, deployment, and use of artificial technologies in the state; appropriates funds. ",Government Use; Impact Assessment; Oversight/Governance; Private Sector Use; Responsible Use ,2024
Hawaii ,H 2245 ,Artificial Intelligence Government Services ,Failed,Establishes and appropriates funds for an AI government services pilot program to provide certain government services to the public through an internet portal that uses AI technologies. ,Government Use ,2024
Hawaii ,HCR 65 ,Law Enforcement Artificial Intelligence Training ,Failed,Urges the leadership of the Department of Law Enforcement to periodically undergo training on crimes relating to AI technology. ,Criminal Use; Government Use ,2024
Hawaii ,HR 48 ,Law Enforcement Artificial Intelligence Training ,Failed,Urges the leadership of the Department of Law Enforcement to periodically undergo training on crimes relating to AI technology. ,Criminal Use; Government Use ,2024
Hawaii ,S 2285 ,State Health Planning and Development Agency ,Failed,"Amends the functions and duties of the state health planning and development agency; appropriates moneys for administrative costs and to establish positions; requires the plan to be developed no later than 2025 and shall be updated annually thereafter; adds remote monitoring, AI and workforce development to examples of emerging health issues that the agency may provide reports, studies and recommendations on. ",Health Use ,2024
Hawaii ,S 2462 ,State Health Planning and Development Agency ,Failed,Amends the functions of the state health planning and development agency; declares that the general fund expenditure ceiling is exceeded; establishes positions; makes an appropriation. ,Health Use ,2024
Hawaii ,S 2524 ,Algorithmic Eligibility Determinations ,Failed,Prohibits users of algorithmic decision making from utilizing algorithmic eligibility determinations in a discriminatory manner; requires users of algorithmic decision making to send corresponding notices to individual's whose personal information is used; requires users of algorithmic decision making to submit annual reports to the Department of the Attorney General; provides for appropriate means of civil enforcement. ,Audit; Impact Assessment; Notification; Private Sector Use; Responsible Use ,2024
Hawaii ,S 2572 ,Office of Artificial Intelligence Safety and Regulation ,Failed,"Establishes the Office of Artificial Intelligence Safety and Regulation within the Department of Commerce and Consumer Affairs to regulate the development, deployment and use of AI technologies in the state; prohibits the deployment of AI products in the state unless affirmative proof establishing the product's safety is submitted to the office; makes an appropriation. ",Health Use; Impact Assessment;  Oversight/Governance; Responsible Use ,2024
Hawaii ,S 2860 ,Department of Corrections Artificial Intelligence Use ,Failed,Requires the Department of Corrections and Rehabilitation to conduct a study to determine the feasibility of using AI technology to assist the department with improving safety at correctional institutions; authorizes the department to contract with consultants to conduct the study; requires a report to the Legislature; appropriates moneys; declares that the appropriation exceeds the state general fund expenditure ceiling for a specified fiscal year. ,Government Use ,2024
Hawaii ,S 2879 ,Artificial Intelligence Government Services ,Failed,Establishes and appropriates funds for an AI government services pilot program to provide certain government services to the public through an internet portal that uses AI technologies. ,Government Use ,2024
Hawaii ,S 2918 ,State Health Planning and Developmental Agency ,Failed,Appropriates the function of the state Health Planning and Developmental Agency with the Department of Health; declares that the general fund expenditure ceiling is exceeded; establishes positions. ,Health Use ,2024
Hawaii ,SCR 95 ,Artificial Intelligence and Art ,Failed,"Encourages the U.S. Congress to pass the Nurture Originals, Foster Art, and Keep Entertainment Safe Act of 2023 (No Fakes Act) and the No Artificial Intelligence Fake Replicas and Unauthorized Duplications Act of 2024 (No AI Fraud Act). ",Criminal Use ,2024
Hawaii ,SR 81 ,Artificial Intelligence and Art ,Failed,"Encourages the United States Congress to pass the Nurture Originals, Foster Art, and Keep Entertainment Safe Act of 2023 (No Fakes Act) and the No Artificial Intelligence Fake Replicas and Unauthorized Duplications Act of 2024 (No AI Fraud Act). ",Criminal Use ,2024
Hawaii ,HCR 71 ,Health Care Language Assistance Services ,Enacted,Requests the Department of Health to convene a stakeholder working group to make recommendations to enhance meaningful access to health care in the state through the provision of language assistance services. ,Health Use ,2024
Hawaii ,S 2284 ,Wildfire Forecast System ,Enacted,"Provides that the University of Hawaii shall establish and implement a program to develop a wildfire forecast system for the state using AI approaches; provides that the university shall develop the system to forecast the risk of wildfire statewide to enhance public safety, preparedness and risk mitigation, including improving the preparedness of firefighters and enabling residents to take proactive fire mitigation measures for their homes and plan for evacuations; appropriates funds. ",Government Use ,2024
Idaho,H 118,Pretrial Risk Assessment Algorithms,Enacted,Revises provisions relating to criminal procedure; provides certain requirements and restrictions for pretrial risk assessment algorithms.,Government Use,2019
Idaho,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2020
Idaho,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2021
Idaho,H 720,Personhood Designations,Enacted,"Provides that environmental elements, artificial intelligence, nonhuman animals, and inanimate objects shall not be granted personhood; declares an emergency; provides an effective date.",Personhood ,2022
Idaho,H 647,Personhood Status,Failed,"Adds to existing law to provide that environmental elements, artificial intelligence, animals, and inanimate objects shall not be granted personhood.",Personhood ,2022
Idaho,None ,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2023
Idaho,H 382 ,Crimes Against Children ,Failed,"Amends existing law to provide that digital, computer–generated images may be considered in the crime of sexual exploitation of a child; revises provisions regarding the Internet Unit. ",Child Pornography; Criminal Use ,2024
Idaho,H 568 ,State Affairs ,Failed,"Relates to the Artificial Intelligence Advisory Council; adds to existing laws to define terms, to establish the state Artificial Intelligence Advisory Council, to provide for powers and duties of the council, to require inventory reports regarding automated decision systems employed by state agencies, to provide for the appointment of council members and council meeting requirements, and to provide a sunset date.  ",Government Use; Studies ,2024
Illinois ,H 2557,Artificial Intelligence Video Interviews,Enacted,"Creates the Artificial Intelligence Video Interview Act, provides that an employer that asks applicants to record video interviews and uses an artificial intelligence analysis of applicant submitted videos shall notify each applicant in writing before the interview that artificial intelligence may be used to analyze the applicant's facial expressions and consider the applicant's fitness for the position, provides each applicant with an information sheet before the interview.","Notification, Private Sector Use",2019
Illinois ,H 2991,Hiring and Creditworthiness Predictive Data,Failed,"Amends the Equal Pay Act and the Consumer Fraud and Deceptive Business Practices Act; provides that when using predictive data analytics in determining creditworthiness or in making hiring decisions, the use of predictive data analytics may not include information that correlates with the race of zip code of the applicant for credit or employment.",Private Sector Use,2019
Illinois ,H 3415,Creditworthiness Predictive Data Analytics,Pending ,"Amends the Equal Pay Act and the Consumer Fraud and Deceptive Business Practices Act; provides that when using predictive data analytics in determining creditworthiness or in making hiring decisions, the use of predictive data analytics may not include information that correlates with the race or zip code of the applicant for credit or employment.",Private Sector Use,2019
Illinois ,H 3662,Diagnostic Algorithm Use in Hospitals,Pending ,"Amends the University of Illinois Hospital Act and the Hospital Licensing Act; provides that before using any diagnostic algorithm to diagnose a patient, a hospital must first confirm that the diagnostic algorithm has been certified by the Department of Public Health and the Department of Innovation and Technology, has been shown to achieve as or more accurate diagnostic results than other diagnostic means, and is not the only method of diagnosis available to a patient.",Health Use,2019
Illinois ,H 3415,Creditworthiness Predictive Data Analytics,Failed,"Amends the Equal Pay Act and the Consumer Fraud and Deceptive Business Practices Act; provides that when using predictive data analytics in determining creditworthiness or in making hiring decisions, the use of predictive data analytics may not include information that correlates with the race or zip code of the applicant for credit or employment.",Private Sector Use,2020
Illinois ,H 3662,Diagnostic Algorithm Use in Hospitals,Failed,"Amends the University of Illinois Hospital Act and the Hospital Licensing Act; provides that before using any diagnostic algorithm to diagnose a patient, a hospital must first confirm that the diagnostic algorithm has been certified by the Department of Public Health and the Department of Innovation and Technology, has been shown to achieve as or more accurate diagnostic results than other diagnostic means, and is not the only method of diagnosis available to a patient.",Health Use,2020
Illinois ,H 4547,Election Code,Failed,"Amends the Election Code; requires a covered website that implements a politically biased algorithm to file a report with the State Board of Elections that includes the candidate, political party, or question the algorithm was design to promote or defeat and other information; imposes a civil penalty on a covered website that fails to report; allows the State Board of Elections to adopt rules necessary to implement the provisions.",Elections,2020
Illinois ,H 4977,Artificial Intelligence Video Interview Act,Failed,Amends the Artificial Intelligence Video Interview Act; provides that employers that rely solely upon artificial intelligence to determine whether an applicant will qualify for an in–person interview must gather and report certain demographic information to the Department of Commerce and Economic Opportunity; requires the department to analyze the data and report to the governor and General Assembly whether the data discloses a racial bias in the use of artificial intelligence.,Private Sector Use; Responsible Use,2020
Illinois ,H 5878,Future of Work Act,Failed,Creates the Future of Work Act; creates the Future of Work Task Force; provides for the duties and responsibilities of the task force; provides for the membership and meetings of the task force; provides that members of the task force shall serve without compensation; provides that the Department of Commerce and Economic Opportunity shall provide administrative support to the task force; requires the task force to submit a final report to the governor and the General Assembly no later than a specified date.,Effect on Labor/Employment,2020
